"","title","author(s)","timestamp","link"
"1","New shenanigans are afoot in Michigan as Trump tries to block certification of Biden’s win ","Andrew Prokop",2020-11-19,"https://www.vox.com/2020/11/19/21575177/trump-wayne-county-michigan-certification"
"2","The disturbing GOP attempt to block certification of Biden’s Michigan win, explained ","Andrew Prokop",2020-11-18,"https://www.vox.com/2020/11/18/21572409/michigan-wayne-county-trump-certification-balance"
"3","Biden can do 3 things on day one to unwind Trump’s war on reproductive health","Anna North",2020-11-16,"https://www.vox.com/2020/11/16/21561232/biden-birth-control-contraception-health-trump-congress"
"4","Georgia’s Republican secretary of state just certified Biden’s victory","Andrew Prokop",2020-11-20,"https://www.vox.com/2020/11/20/21578548/georgia-certifies-biden-win-raffensperger-recount"
"5","In his new memoir, Obama defends — and critiques — his legacy","Constance Grady",2020-11-19,"https://www.vox.com/culture/21573728/barack-obama-memoir-promised-land-review"
"6","Here’s how Biden could undo Trump’s deregulation agenda","Sarah Kleiner",2020-11-09,"https://www.vox.com/21536034/biden-trump-deregulation-climate-change-obamacare"
"7","How long can Trump keep disputing the election results?","Andrew Prokop",2020-11-17,"https://www.vox.com/21569656/trump-disputes-election-conceding-certifications-electors"
"8","A new lawsuit alleges Trump’s effort to overturn Michigan’s election results disenfranchises Black voters","Anya van Wagtendonk",2020-11-21,"https://www.vox.com/2020/11/21/21588472/lawsuit-michigan-trump-disenfranchise-black-voters-election-results"
"9","Vox poll: 73 percent of Republican voters are questioning Biden’s victory","Li Zhou",2020-11-18,"https://www.vox.com/2020/11/18/21573145/poll-trump-election-fraud-allegations-republican-voters"
"10","Leaks suggest Trump knows his effort to stay in office is probably doomed","Andrew Prokop",2020-11-12,"https://www.vox.com/2020/11/12/21562334/trump-election-conceding-contesting-biden-2024"
"11","Trump’s attempt to overturn the election result is ramping up. Here’s what comes next.","Andrew Prokop",2020-11-11,"https://www.vox.com/2020/11/11/21559082/trump-dispute-election-fraud-electors"
"12","Joe Biden has won. Here’s what comes next.","Dylan Matthews",2020-11-08,"https://www.vox.com/2020/11/6/21534594/joe-biden-wins-2020-presidential-election"
"13","10 enormously consequential things Biden can do without the Senate","Dylan Matthews",2020-11-19,"https://www.vox.com/21557717/joe-biden-executive-order-student-debt-climate"
"14","What Trump can do during his lame-duck session","Rani Molla",2020-11-09,"https://www.vox.com/2020/11/9/21552855/trump-lame-duck-pardon-executive-order-firing-transition"
"15","How Joe Biden, the ultimate insider, defeated Donald Trump, the ultimate outsider","Ezra Klein",2020-11-06,"https://www.vox.com/21545969/joe-biden-2020-election-winner-trump-vote"
