"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"1","viacom-cbs",18007,27327,25745,31252,37994,27851,17332,17967,12161,12165,10615,"Media","United States","http://images.forbes.com/media/lists/companies/viacom-cbs_416x416.jpg"
"2","l3harris-technologies",10625,8638,7028,7293,10198,10410,9615,12901,15390,17027,42013,"Aerospace & Defense","United States","http://images.forbes.com/media/lists/companies/l3harris-technologies_416x416.jpg"
"3","jpmorgan-chase",NA,182206,170140,191450,229747,225451,234247,306616,387668,368502,291737,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/jpmorgan-chase_416x416.jpg"
"4","hsbc-holdings",NA,186472,164312,201312,192566,167746,132956,162638,200293,175460,105318,"Banking","United Kingdom","http://images.forbes.com/media/lists/companies/hsbc-holdings_416x416.jpg"
"5","general-electric",NA,216192,213741,243735,259557,253500,285611,261174,126806,81435,59480,"Conglomerates","United States","http://images.forbes.com/media/lists/companies/general-electric_416x416.jpg"
"6","exxon-mobil",NA,407200,407411,400418,422315,357094,363270,343165,344126,343431,196588,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/exxon-mobil_416x416.jpg"
"7","royal-dutch-shell",NA,212940,227597,213145,234059,195380,209987,228793,306459,264939,126489,"Oil & Gas Operations","Netherlands","http://images.forbes.com/media/lists/companies/royal-dutch-shell_416x416.jpg"
"8","petrochina",NA,320811,294726,261164,201966,334578,203848,204477,220199,198651,65868,"Oil & Gas Operations","China","http://images.forbes.com/media/lists/companies/petrochina_416x416.jpg"
"9","icbc",NA,239490,237401,237264,215625,278327,198042,229805,311014,305057,242283,"Banking","China","http://images.forbes.com/media/lists/companies/icbc_416x416.jpg"
"10","berkshire-hathaway",NA,210975,202160,252805,309102,354813,360145,409908,491888,516407,455444,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/berkshire-hathaway_416x416.jpg"
"11","petrobras",NA,238788,179998,120656,86794,44359,42068,61278,92612,91193,43494,"Oil & Gas Operations","Brazil","http://images.forbes.com/media/lists/companies/petrobras_416x416.jpg"
"12","citigroup",NA,132786,107528,143612,145143,156663,138149,164316,185788,161112,101102,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/citigroup_416x416.jpg"
"13","bnp-paribas",NA,88037,61530,71279,98614,78408,66847,80499,93581,68712,39215,"Banking","France","http://images.forbes.com/media/lists/companies/bnp-paribas_416x416.jpg"
"14","wells-fargo",NA,170580,178710,201348,261375,278273,255998,274385,265328,214676,118797,"Banking","United States","http://images.forbes.com/media/lists/companies/wells-fargo_416x416.jpg"
"15","santander",NA,94735,75604,82146,112273,109351,72526,89409,106323,84077,37067,"Banking","Spain","http://images.forbes.com/media/lists/companies/santander_416x416.jpg"
"16","att",NA,168239,187289,200059,182708,172988,234177,249286,198293,233325,218558,"Telecommunications Services","United States","http://images.forbes.com/media/lists/companies/att_416x416.jpg"
"17","gazprom",NA,172916,159751,111368,88824,62486,57146,51815,57835,59861,60825,"Oil & Gas Operations","Russia","http://images.forbes.com/media/lists/companies/gazprom_416x416.jpg"
"18","chevron",NA,200604,218020,232502,227187,201029,192258,206083,248119,228323,171762,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/chevron_416x416.jpg"
"19","china-construction-bank",NA,224794,201941,202004,174365,212945,162774,200458,261166,224988,203818,"Banking","China","http://images.forbes.com/media/lists/companies/china-construction-bank_416x416.jpg"
"20","walmart",NA,187325,208359,242530,247904,261279,215696,221106,246178,296094,344436,"Retailing","United States","http://images.forbes.com/media/lists/companies/walmart_416x416.jpg"
"21","total",NA,138025,132449,115525,149843,120222,121917,128122,168012,149486,93061,"Oil & Gas Operations","France","http://images.forbes.com/media/lists/companies/total_416x416.jpg"
"22","allianz",NA,62704,56270,66362,77206,82007,79725,83721,100405,102303,77056,"Insurance","Germany","http://images.forbes.com/media/lists/companies/allianz_416x416.jpg"
"23","bank-of-china",NA,143001,129053,131683,124249,199130,143002,141321,158628,142958,112774,"Banking","China","http://images.forbes.com/media/lists/companies/bank-of-china_416x416.jpg"
"24","conocophillips",NA,109082,98767,72124,86309,80525,58971,61283,81250,74582,45336,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/conocophillips_416x416.jpg"
"25","sinopec",NA,107675,104171,106858,94651,121023,89941,105122,138569,105633,76570,"Oil & Gas Operations","China","http://images.forbes.com/media/lists/companies/sinopec_416x416.jpg"
"26","volkswagen-group",NA,70348,79536,94382,119049,126017,73073,72941,101428,91951,70402,"Consumer Durables","Germany","http://images.forbes.com/media/lists/companies/volkswagen-group_416x416.jpg"
"27","agricultural-bank-of-china",NA,134025,154813,150844,141105,189879,152736,149229,184125,197045,147174,"Banking","China","http://images.forbes.com/media/lists/companies/agricultural-bank-of-china_416x416.jpg"
"28","nestle",NA,181115,205417,233516,239577,247294,235701,229485,237278,281294,304074,"Food, Drink & Tobacco","Switzerland","http://images.forbes.com/media/lists/companies/nestle_416x416.jpg"
"29","vodafone",NA,148214,131161,135675,96897,88035,87289,67036,75957,49557,37869,"Telecommunications Services","United Kingdom","http://images.forbes.com/media/lists/companies/vodafone_416x416.jpg"
"30","eni",NA,96784,97649,86290,90854,64246,57713,58229,70712,62483,34098,"Oil & Gas Operations","Italy","http://images.forbes.com/media/lists/companies/eni_416x416.jpg"
"31","american-international-group",NA,67062,50269,57532,73159,75037,63709,60086,47443,40043,21903,"Insurance","United States","http://images.forbes.com/media/lists/companies/american-international-group_416x416.jpg"
"32","engie",NA,85203,58329,44984,64564,49544,38961,34776,41764,36155,26177,"Oil & Gas Operations","France","http://images.forbes.com/media/lists/companies/engie_416x416.jpg"
"33","ibm",NA,198089,238696,239530,202541,160164,142691,162365,132316,124875,111484,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/ibm_416x416.jpg"
"34","telefonica",NA,113256,75583,67110,71823,72318,55197,55893,51115,43277,23420,"Telecommunications Services","Spain","http://images.forbes.com/media/lists/companies/telefonica_416x416.jpg"
"35","samsung-electronics",NA,112934,161965,174393,186472,199356,161550,254303,325865,272424,278742,"Technology Hardware & Equipment","South Korea","http://images.forbes.com/media/lists/companies/samsung-electronics_416x416.jpg"
"36","china-mobile",NA,192069,216510,213824,184573,271486,240997,225308,192632,197572,164943,"Telecommunications Services","Hong Kong","http://images.forbes.com/media/lists/companies/china-mobile_416x416.jpg"
"37","procter-gamble",NA,172220,185233,208534,217835,224250,218935,228115,184496,265293,291804,"Household & Personal Products","United States","http://images.forbes.com/media/lists/companies/procter-gamble_416x416.jpg"
"38","pfizer",NA,155667,165395,201438,203934,211719,205746,203070,207660,218630,212808,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/pfizer_416x416.jpg"
"39","goldman-sachs-group",NA,89961,63469,74456,75121,86474,72964,90648,91755,75520,63403,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/goldman-sachs-group_416x416.jpg"
"40","eon",NA,63995,49113,32540,37634,30255,20938,16888,24173,23952,26120,"Utilities","Germany","http://images.forbes.com/media/lists/companies/eon_416x416.jpg"
"41","ing-group",NA,46752,35850,31864,56061,58875,49891,57932,62210,52699,21390,"Diversified Financials","Netherlands","http://images.forbes.com/media/lists/companies/ing-group_416x416.jpg"
