"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"1","saudi-arabian-oil-company-saudi-aramco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1684765,"Oil & Gas Operations","Saudi Arabia","http://images.forbes.com/media/lists/companies/saudi-arabian-oil-company-saudi-aramco_416x416.jpg"
"2","microsoft",NA,215773,273539,234828,343816,340826,407015,507544,750649,946521,1359028,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/microsoft_416x416.jpg"
"3","apple",NA,324281,545968,416622,483146,741782,585951,752039,926946,961257,1285516,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/apple_416x416.jpg"
"4","amazon",NA,75800,84210,119011,157523,175091,292622,427011,777775,916050,1233351,"Retailing","United States","http://images.forbes.com/media/lists/companies/amazon_416x416.jpg"
"5","alphabet",NA,NA,NA,NA,NA,NA,500077,579499,766350,863178,919284,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/alphabet_416x416.jpg"
"6","facebook",NA,NA,NA,63472,159665,231570,314758,407300,541470,512005,583675,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/facebook_416x416.jpg"
"7","alibaba-group",NA,NA,NA,NA,NA,201687,200718,264865,499404,480797,545380,"Retailing","China","http://images.forbes.com/media/lists/companies/alibaba-group_416x416.jpg"
"8","tencent-holdings",NA,51076,51318,65009,135408,181110,197439,277122,491253,472062,509673,"IT Software & Services","China","http://images.forbes.com/media/lists/companies/tencent-holdings_416x416.jpg"
"9","berkshire-hathaway",NA,210975,202160,252805,309102,354813,360145,409908,491888,516407,455444,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/berkshire-hathaway_416x416.jpg"
"10","johnson-johnson",NA,163265,178760,221361,277006,275720,312575,338644,341277,366184,395294,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/johnson-johnson_416x416.jpg"
"11","visa",NA,60396,94896,104827,135971,160105,189782,206396,295124,351882,383947,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/visa_416x416.jpg"
"12","walmart",NA,187325,208359,242530,247904,261279,215696,221106,246178,296094,344436,"Retailing","United States","http://images.forbes.com/media/lists/companies/walmart_416x416.jpg"
"13","nestle",NA,181115,205417,233516,239577,247294,235701,229485,237278,281294,304074,"Food, Drink & Tobacco","Switzerland","http://images.forbes.com/media/lists/companies/nestle_416x416.jpg"
"14","roche-holding",NA,120926,152019,198935,253742,240395,222178,219267,189692,222048,297429,"Drugs & Biotechnology","Switzerland","http://images.forbes.com/media/lists/companies/roche-holding_416x416.jpg"
"15","procter-gamble",NA,172220,185233,208534,217835,224250,218935,228115,184496,265293,291804,"Household & Personal Products","United States","http://images.forbes.com/media/lists/companies/procter-gamble_416x416.jpg"
"16","jpmorgan-chase",NA,182206,170140,191450,229747,225451,234247,306616,387668,368502,291737,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/jpmorgan-chase_416x416.jpg"
"17","samsung-electronics",NA,112934,161965,174393,186472,199356,161550,254303,325865,272424,278742,"Technology Hardware & Equipment","South Korea","http://images.forbes.com/media/lists/companies/samsung-electronics_416x416.jpg"
"18","unitedhealth-group",NA,47674,58090,56094,80955,112006,127514,160185,228983,212778,277094,"Insurance","United States","http://images.forbes.com/media/lists/companies/unitedhealth-group_416x416.jpg"
"19","mastercard",NA,32443,53156,63763,88765,100867,108216,121331,201894,247132,276081,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/mastercard_416x416.jpg"
"20","taiwan-semiconductor",NA,61318,71131,89873,102002,123323,125605,161734,203024,222396,265526,"Semiconductors","Taiwan","http://images.forbes.com/media/lists/companies/taiwan-semiconductor_416x416.jpg"
